AccessionVersion	TaxSuperkingdom	TaxPhylum	TaxClass	TaxOrder	TaxFamily	TaxGenus	TaxSpecies	Topology	MOB_60	MPF	PFinder_80	CARD_80	Filtered	Size	PTU_Curated	HRange_Curated	CComp	BlockCC_old	BlockCC4_old	sHSBM_old	PTU_sHSBM_old	BlockCC	BlockCC4	sHSBM	PTU_sHSBM	HRange
NC_005565.1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	circular	-	-	rep10	-	No	1288	-	-	1	1_5_6_10_5_12_0_15_66_129_7_0	1_5_6_10_5_12_0_15_66_129_7_0	1_5_6_10_5_12_0_15_66_129_172_0	PTU-Bac20	0_4_5_9_4_18_27_31_41_0	0_4_5_9_4_18_27_31_41_0	0_4_5_9_4_18_27_31_130_0	PTU-Bac20	IV
NC_006976.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica	circular	MOBP	-	-	tet(L)	No	5317	PTU-Pas1	III	1	1_5_6_10_3_16_25_27_45_144_502_0	1_5_6_10_3_16_25_27_45_144_502_0	1_5_6_10_3_16_25_27_45_144_120_0	PTU-Pas1	0_4_5_9_4_18_70_10_680_0	0_4_5_9_4_18_70_10_680_0	0_4_5_9_4_18_70_10_680_0	PTU-Pas1	III
NC_002092.1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	circular	-	-	-	-	No	1296	PTU-Xan8	I	8	1_0_5_9_7_3_9_37_80_111_245_0	1_0_5_9_7_3_9_37_80_111_245_0	1_0_5_9_7_3_9_37_80_111_245_0	PTU-Xan8	0_5_1_6_5_25_5_3_605_0	0_5_1_6_5_25_5_3_605_0	0_5_1_6_5_25_5_3_605_0	PTU-Xan8	I
NC_002130.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer	circular	-	-	-	-	No	5609	-	-	9	-	-	-	-	0_5_1_11_11_13_48_26_368_0	-	-	-	-
NC_006997.1	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	circular	MOBQ	-	-	-	No	3682	PTU-Bif2	II	10	1_0_5_9_7_3_17_26_58_93_296_0	1_0_5_9_7_3_17_26_58_93_296_0	1_0_5_9_7_3_17_26_58_93_296_0	PTU-Bif2	0_4_5_9_15_15_66_174_13_0	0_4_5_9_15_15_66_174_13_0	0_4_5_9_15_15_66_174_13_0	PTU-Bif2	II
NC_005923.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	IncX2	catI;tet(A)	No	6464	-	-	11	-	-	-	-	0_5_1_6_5_25_42_32_195_0	-	-	-	-
NC_005324.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	-	APH(3'')-Ib;APH(6)-Id;sul2	No	6222	-	-	1	1_0_5_5_6_20_8_40_65_59_11_0	1_0_5_5_6_20_8_40_65_59_11_0	1_0_5_5_6_20_8_40_65_59_11_0	PTU-11_0	0_4_6_5_7_3_29_166_14_0	0_4_6_5_7_3_29_166_14_0	0_4_6_5_7_3_29_166_14_0	PTU-E63	I
NC_004958.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	circular	MOBV	-	-	-	No	4230	PTU-Lab4	II	12	1_0_5_9_11_21_29_8_68_147_74_0	1_0_5_9_11_21_29_8_68_147_74_0	1_0_5_9_11_21_29_8_68_147_74_0	PTU-Lab4	0_5_1_11_2_27_54_96_261_0	0_5_1_11_2_27_54_96_261_0	0_5_1_11_2_27_54_96_261_0	PTU-Lab4	II
NC_006994.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	circular	MOBQ;MOBV	-	IncQ1	floR;sul2	No	10874	-	-	1	1_0_5_5_6_17_15_12_70_19_13_0	1_0_5_5_6_17_15_12_70_19_13_0	1_0_5_5_6_17_15_12_70_19_13_0	PTU-Q1	0_4_6_5_17_21_17_46_16_0	0_4_6_5_17_21_17_46_16_0	0_4_6_5_17_21_17_46_16_0	PTU-Q1	V
NC_002487.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	ColRNAI	-	No	5847	-	-	1	1_0_5_9_7_10_24_22_15_152_25_0	1_0_5_9_7_10_24_22_15_152_25_0	1_0_5_9_7_10_24_22_15_152_25_0	PTU-25_0	0_4_6_5_17_9_16_165_406_0	0_4_6_5_17_9_16_165_406_0	0_4_6_5_17_9_16_165_406_0	PTU-E58	III
NC_004652.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	-	-	-	-	No	7302	-	-	6	1_5_6_10_3_16_25_41_72_22_432_0	1_5_6_10_3_16_25_41_72_22_432_0	1_5_6_10_3_16_25_41_72_22_432_0	PTU-432_0	0_5_1_11_2_20_37_103_278_0	0_5_1_11_2_20_37_103_278_0	0_5_1_11_2_20_37_103_278_0	PTU-Lab47	I
NC_002119.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	ColRNAI	-	No	9957	PTU-E4	III	1	1_0_5_9_11_2_27_6_35_61_16_0	1_0_5_9_11_2_27_6_35_61_16_0	1_0_5_9_11_2_27_6_35_61_16_0	PTU-E4	0_4_6_5_17_22_31_35_19_0	0_4_6_5_17_22_31_35_19_0	0_4_6_5_17_22_31_35_19_0	PTU-E4	III
NC_001537.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	ColRNAI	-	No	3895	-	-	1	1_0_5_5_6_17_15_45_42_118_540_0	-	-	-	0_4_6_5_17_9_14_159_435_0	-	-	-	-
NC_004944.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	-	-	-	tetM	No	10877	PTU-Lab23	III	6	1_5_0_4_4_6_2_18_18_114_341_0	1_5_0_4_4_6_2_18_18_114_341_0	1_5_0_4_4_6_2_18_18_114_341_0	PTU-Lab23	0_5_1_6_5_25_42_21_485_0	0_5_1_6_5_25_42_21_485_0	0_5_1_6_5_25_42_21_485_0	PTU-Lab23	III
NC_005098.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	circular	-	-	-	-	No	2911	-	-	6	1_5_0_4_4_6_2_0_67_183_496_0	1_5_0_4_4_6_2_0_67_183_496_0	1_5_0_4_4_6_2_0_67_183_496_0	PTU-Lab28	0_5_1_11_2_20_37_47_723_0	-	-	-	-
NC_005322.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	circular	-	-	-	-	No	8144	-	-	13	-	-	-	-	0_5_1_11_2_20_1_67_481_0	-	-	-	-
NC_006278.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	-	-	-	-	No	7222	-	-	6	1_5_0_4_4_6_2_18_37_86_96_0	-	-	-	0_5_1_6_5_25_8_63_189_0	0_5_1_6_5_25_8_63_189_0	0_5_1_6_5_25_8_63_189_0	PTU-Lab41	II
NC_002145.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	Col(MG828)	-	No	1549	PTU-E9	VI	1	1_0_5_9_7_10_24_22_15_64_128_0	1_0_5_9_7_10_24_22_15_64_128_0	1_0_5_9_7_10_24_22_15_64_128_0	PTU-E9	0_4_6_5_17_9_2_88_743_0	0_4_6_5_17_9_2_88_743_0	0_4_6_5_17_9_2_88_743_0	PTU-E9	VI
NC_005019.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBP	-	ColRNAI	-	No	6293	PTU-E1	III	1	1_0_5_5_6_17_15_45_42_188_116_0	1_0_5_5_6_17_15_45_42_188_116_0	1_0_5_5_6_17_15_45_42_188_116_0	PTU-E1	0_4_6_5_17_9_14_73_26_0	0_4_6_5_17_9_14_73_26_0	0_4_6_5_17_9_14_159_260_0	PTU-E1	III
NC_000937.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	circular	-	-	-	-	No	9531	-	-	6	1_5_0_4_4_6_2_0_67_183_496_0	1_5_0_4_4_6_2_0_67_183_496_0	1_5_0_4_4_6_2_0_67_183_496_0	PTU-Lab28	0_5_1_11_2_20_37_47_27_0	0_5_1_11_2_20_37_47_27_0	0_5_1_11_2_20_37_47_27_0	PTU-Lab28	III
NC_000938.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	circular	-	-	-	-	No	3498	PTU-Lab35	I	14	1_0_5_9_7_3_17_42_39_92_546_0	1_0_5_9_7_3_17_42_39_92_546_0	1_0_5_9_7_3_17_42_39_92_546_0	PTU-Lab35	0_5_1_11_2_27_54_96_679_0	0_5_1_11_2_27_54_96_679_0	0_5_1_11_2_27_54_96_679_0	PTU-Lab35	I
NC_001949.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	MOBQ	typeFATA	-	-	No	60232	-	-	15	-	-	-	-	0_5_1_11_2_27_19_104_251_0	-	-	-	-
NC_004960.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	-	-	-	-	No	7858	-	-	16	-	-	-	-	0_5_1_11_11_13_48_19_482_0	-	-	-	-
NC_003893.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	-	-	-	-	No	2061	PTU-Lab11	IV	3	1_5_6_3_10_0_12_2_59_43_2_0	1_5_6_3_10_0_12_2_59_43_2_0	1_5_6_3_10_0_12_2_59_43_2_0	PTU-Lab11	0_4_5_3_16_24_7_183_451_0	0_4_5_3_16_24_7_183_451_0	0_4_5_3_16_24_7_183_451_0	PTU-Lab11	IV
NC_003894.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	-	-	-	-	No	9253	-	-	17	-	-	-	-	0_4_5_3_10_16_63_55_270_0	-	-	-	-
NC_009034.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	circular	MOBV	-	-	-	No	5475	-	-	18	-	-	-	-	0_5_1_11_2_20_37_118_778_0	-	-	-	-
NC_009353.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum gryphiswaldense	circular	-	-	-	-	No	35803	-	-	19	-	-	-	-	0_4_5_3_10_16_60_179_569_0	-	-	-	-
NC_009739.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	circular	MOBP	-	IncP6	AAC(6')-30/AAC(6')-Ib';AAC(6')-Ib7;VIM-7	No	24179	-	-	20	-	-	-	-	0_5_1_11_2_20_69_123_198_0	-	-	-	-
NC_005327.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	typeF	IncFII	AAC(3)-IIe;AAC(6')-Ib-cr;CTX-M-15;OXA-1;TEM-181;catB3;catB3;tet(A)	No	92353	PTU-FE	III	1	1_0_5_9_11_21_13_19_36_7_24_0	1_0_5_9_11_21_13_19_36_7_24_0	1_0_5_9_11_21_13_19_36_124_115_0	PTU-FE	0_4_6_5_14_7_13_158_265_0	0_4_6_5_14_7_13_158_265_0	0_4_6_5_14_7_13_158_138_0	PTU-FE	III
NC_003350.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	circular	MOBF	typeT	-	-	No	116580	-	-	21	-	-	-	-	0_4_5_3_16_14_15_62_672_0	-	-	-	-
NC_004999.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	circular	MOBF	typeT	-	-	No	83042	PTU-P9	II	22	1_5_6_3_10_0_12_4_20_95_138_0	1_5_6_3_10_0_12_4_20_95_138_0	1_5_6_3_10_0_12_4_20_95_138_0	PTU-P9	0_5_1_11_11_23_4_145_216_0	0_5_1_11_11_23_4_145_216_0	0_5_1_11_11_23_4_145_216_0	PTU-P9	II
NC_007365.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	linear	MOBP	typeI	IncB/O/K/Z;IncFIB(AP001918)	-	No	165548	PTU-B/O/K/Z	III	1	1_0_5_9_11_2_30_3_32_52_444_0	1_0_5_9_11_2_30_3_32_52_444_0	1_0_5_9_11_2_30_3_32_52_171_0	PTU-B/O/K/Z	0_4_6_5_14_26_40_147_69_0	0_4_6_5_14_26_40_147_69_0	0_4_6_5_14_26_40_147_69_0	PTU-B/O/K/Z	III
NC_005249.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncFIB(K);IncHI1B	-	No	219385	PTU-E21	I	23	1_5_0_4_4_9_28_14_76_121_81_0	1_5_0_4_4_9_28_14_76_121_81_0	1_5_0_4_4_9_28_14_76_121_81_0	PTU-E21	0_4_5_9_15_12_9_97_755_0	0_4_5_9_15_12_9_97_755_0	0_4_5_9_15_12_9_97_755_0	PTU-E21	I
NC_006323.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	circular	MOBF	-	IncFIB(pHCM2);IncFII(Yp)	-	No	137036	PTU-FY	IV	1	1_0_5_9_7_10_24_22_22_90_323_0	1_0_5_9_7_10_24_22_22_90_323_0	1_0_5_9_7_10_24_22_22_90_323_0	PTU-FY	0_4_6_5_17_9_16_36_35_0	0_4_6_5_17_9_16_36_35_0	0_4_6_5_17_9_16_36_35_0	PTU-FY	I
NC_008275.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	circular	-	-	-	-	No	107929	-	-	24	-	-	-	-	0_5_1_11_2_20_37_118_728_0	-	-	-	-
NC_002525.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBP	typeT	IncI2	ANT(3'')-IIa;SAT-1;dfrA1	No	75582	PTU-I2	-	1	1_0_5_9_11_21_29_29_64_146_29_0	1_0_5_9_11_21_29_29_64_146_29_0	1_0_5_9_11_21_29_29_64_146_234_0	PTU-I2	0_4_6_5_14_26_64_33_329_0	0_4_6_5_14_26_64_33_329_0	0_4_6_5_14_26_64_33_329_0	PTU-I2	III
NC_005211.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	circular	MOBH	-	IncHI2;IncHI2A;RepA	APH(3')-Ia;catI;tet(B)	No	274762	PTU-HI2	IV	1	1_0_5_9_11_21_29_29_75_91_422_0	1_0_5_9_11_21_29_29_75_91_422_0	1_0_5_9_11_21_29_29_75_91_422_0	PTU-HI2	0_4_6_5_7_10_65_34_428_0	0_4_6_5_7_10_65_34_428_0	0_4_6_5_7_10_65_34_428_0	PTU-HI2	IV
NC_005205.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	circular	MOBP	typeT	-	APH(3'')-Ib;APH(6)-Id	No	72601	-	-	1	1_0_5_9_11_2_30_3_21_4_346_0	-	-	-	0_4_6_5_14_26_40_91_39_0	-	-	-	-
NC_004564.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	circular	-	-	IncFII(pYVa12790)	-	No	66591	PTU-E2	II	1	1_0_5_9_7_10_24_22_22_108_32_0	1_0_5_9_7_10_24_22_22_108_32_0	1_0_5_9_7_10_24_22_22_108_32_0	PTU-E2	0_4_6_5_17_9_16_165_160_0	0_4_6_5_17_9_16_165_160_0	0_4_6_5_17_9_16_165_160_0	PTU-E2	II
NC_005024.1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	circular	MOBQ;MOBV	typeFATA	rep13;rep15;rep21;repUS12	AAC(6')-Ie-APH(2'')-Ia;ANT(4')-Ib	No	46445	-	-	1	1_5_6_10_5_12_0_15_38_150_67_0	-	-	-	0_4_5_9_4_18_27_15_682_0	0_4_5_9_4_18_27_15_682_0	0_4_5_9_4_18_27_15_682_0	PTU-Bac44	I
NC_005250.1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio anguillarum	circular	-	-	-	-	No	65009	-	-	25	-	-	-	-	0_4_5_9_15_15_11_175_86_0	-	-	-	-
NC_008357.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	circular	MOBP	-	IncP1	ANT(3'')-IIa;APH(3')-Ib;APH(3')-Ib;SAT-1;TEM-181;dfrA1;tet(A)	No	89147	-	-	1	1_0_5_9_11_21_29_29_64_60_184_0	-	-	-	0_4_6_5_14_26_40_91_354_0	-	-	-	-
NC_006671.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	typeF	IncFII(pRSB107)	AAC(6')-Ib7;TEM-181;aadA5;catB3;dfrA1;qacEdelta1;sul1;tet(A)	No	101375	PTU-FE	-	1	1_0_5_9_11_21_13_19_36_71_35_0	1_0_5_9_11_21_13_19_36_71_35_0	1_0_5_9_11_21_13_19_36_124_115_0	PTU-FE	0_4_6_5_14_7_13_158_44_0	0_4_6_5_14_7_13_158_44_0	0_4_6_5_14_7_13_158_138_0	PTU-FE	III
NC_008460.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	typeF	IncFIB(AP001918);IncFII(pCoo)	APH(3')-IIa;APH(6)-Ic;BLMT	No	120730	PTU-FE	-	1	1_0_5_9_11_21_13_19_36_57_190_0	-	-	-	0_4_6_5_14_7_13_162_432_0	-	-	-	-
NC_008490.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	-	Escherichia;sul2	No	8985	PTU-E52	I	1	1_0_5_5_6_17_3_46_26_149_135_0	1_0_5_5_6_17_3_46_26_149_135_0	1_0_5_5_6_17_3_46_26_149_135_0	PTU-E52	0_4_6_5_17_21_45_98_142_0	0_4_6_5_17_21_45_98_142_0	0_4_6_5_17_21_45_98_142_0	PTU-E52	III
NC_008613.1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	circular	MOBH	typeF	IncA/C2	sul2;tet(D)	No	131520	PTU-C	V	1	1_0_5_9_11_2_30_21_41_173_38_0	1_0_5_9_11_2_30_21_41_173_38_0	1_0_5_9_11_2_30_21_41_173_345_0	PTU-C	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	PTU-C	V
NC_006277.2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	circular	-	-	-	-	No	44420	-	-	26	-	-	-	-	0_5_1_6_5_25_5_81_416_0	-	-	-	-
NC_002377.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	circular	MOBP;MOBQ	typeT	-	-	No	194140	-	-	1	1_0_5_9_11_2_30_3_21_4_346_1	-	-	-	0_4_6_5_14_26_40_91_39_1	-	-	-	-
NC_001911.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	circular	-	-	-	-	No	7768	PTU-E17	I	27	1_0_5_9_7_3_9_37_80_162_39_0	1_0_5_9_7_3_9_37_80_162_39_0	1_0_5_9_7_3_9_37_80_162_39_0	PTU-E17	0_4_5_3_16_24_57_148_839_0	0_4_5_3_16_24_57_148_839_0	0_4_5_3_16_24_57_148_839_0	PTU-E17	I
NC_009139.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia ruckeri	circular	MOBH	typeF	IncA/C2	APH(3'')-Ib;APH(6)-Id;dfrI;sul2;tet(B)	No	158038	PTU-C	V	1	1_0_5_9_11_2_30_21_41_173_345_0	1_0_5_9_11_2_30_21_41_173_345_0	1_0_5_9_11_2_30_21_41_173_345_0	PTU-C	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	PTU-C	V
NC_009435.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	-	-	-	-	No	68319	-	-	6	1_5_0_4_4_6_2_18_34_98_179_0	-	-	-	0_5_1_6_5_25_42_167_833_0	-	-	-	-
NC_004998.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	typeF	IncFIB(AP001918);IncFII	AAC(3)-Ia;AAC(6')-Ib7;ANT(3'')-IIa;SHV-5;qacEdelta1;sul1	No	125491	PTU-FE	-	1	1_0_5_9_11_21_13_19_36_71_535_0	1_0_5_9_11_21_13_19_36_71_535_0	1_0_5_9_11_21_13_19_36_124_115_0	PTU-FE	0_4_6_5_14_7_13_30_376_0	-	-	-	-
NC_007675.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	typeF	IncFIB(AP001918);IncFII	-	No	184501	PTU-FE	-	1	1_0_5_9_11_21_13_19_36_124_85_0	1_0_5_9_11_21_13_19_36_124_85_0	1_0_5_9_11_21_13_19_36_124_115_0	PTU-FE	0_4_6_5_14_7_13_30_112_0	0_4_6_5_14_7_13_30_112_0	0_4_6_5_14_7_13_158_138_0	PTU-FE	III
